n_tasks,n_seeds,delta,lrt_p,n_primary_contrasts,primary_detected,false_positive,detected
15,2,0.04,1.0,3,False,False,False
15,2,0.06,1.0,3,False,False,False
15,2,0.08,1.0,3,True,False,False
15,2,0.1,1.0,3,True,False,False
15,2,0.12,0.9974904476821012,3,True,False,False
15,2,0.15,0.5012814352563824,3,True,False,False
15,2,0.2,3.494327194231397e-07,3,True,False,True
15,2,0.3,1.1312893119260068e-29,3,True,False,True
20,2,0.04,1.0,3,True,True,False
20,2,0.06,1.0,3,True,True,False
20,2,0.08,1.0,3,True,True,False
20,2,0.1,0.7216616060859391,3,True,True,False
20,2,0.12,0.000397762894806437,3,True,True,True
20,2,0.15,1.1509731706789085e-06,3,True,True,True
20,2,0.2,2.4911536908172163e-14,3,True,True,True
20,2,0.3,3.895538893899986e-48,3,True,True,True
20,3,0.04,1.0,3,True,False,False
20,3,0.06,1.0,3,True,True,False
20,3,0.08,0.38673161592821886,3,True,True,False
20,3,0.1,0.0895997560074863,3,True,True,False
20,3,0.12,7.827400049904391e-07,3,True,True,True
20,3,0.15,4.0000314903682586e-10,3,True,True,True
20,3,0.2,1.2472024183013093e-23,3,True,True,True
20,3,0.3,8.919156321867308e-75,3,True,True,True
